BathsTotal,BedsTotal,CDOM,LotSizeAreaSQFT,SqFtTotal,ElementarySchoolName,ClosePrice
2.1,4,111,40423.68,2337,Rogers,380000.0
2.1,3,28,6534.0,2374,Bright,382500.0
3.0,4,29,8842.68,2865,Newman,385000.0
3.1,4,2,6664.68,3101,Sparks,385000.0
3.1,4,60,6229.08,2873,Purefoy,387000.0
3.1,4,138,8058.6,3613,Judy Rucker,388900.0
2.1,3,0,2657.16,2253,Rogers,390220.0
3.0,3,4,0.0,2646,Jim Spradley,392000.0
3.1,4,136,6969.6,3685,Elliott,395000.0
3.1,4,181,10890.0,3188,Newman,399000.0
4.0,4,245,7579.44,3307,Fisher,400000.0
3.0,4,25,6621.12,2760,Newman,403400.0
3.1,4,40,8189.28,3276,Purefoy,404000.0
3.0,3,355,0.0,2887,Bright,404900.0
3.1,3,480,4356.0,2508,Vaughn,405000.0
3.1,3,75,4356.0,2511,Vaughn,405000.0
3.1,4,87,7405.2,3701,Jim Spradley,405000.0
3.2,4,56,8232.84,3320,Newman,406900.0
3.1,4,60,8145.72,3278,Fisher,406900.0
3.1,4,63,6969.6,4198,Tadlock,411000.0
3.0,5,55,12632.4,3355,Rogers,412000.0
3.2,4,316,5401.44,3195,Rogers,415000.0
4.0,4,158,9147.6,3829,Rogers,415000.0
4.0,5,146,6969.6,4009,Jim Spradley,417500.0
4.0,5,12,7187.4,3465,Sem,420000.0
3.1,4,31,7840.8,3003,Vaughn,420000.0
3.0,4,-13,6621.12,2760,Newman,420250.0
3.0,4,91,13155.12,2537,Gunstream,420990.0
2.2,3,488,7405.2,2077,Vaughn,424990.0
4.1,5,12,5401.44,3195,Rogers,426577.0
4.0,5,287,6534.0,4230,Tadlock,430000.0
3.1,4,228,5401.44,3464,Rogers,432000.0
3.0,4,74,9016.92,2632,Purefoy,435000.0
4.0,5,87,7927.92,3383,Carroll,435000.0
3.1,4,170,6098.4,3268,Vaughn,435000.0
3.0,4,42,10018.8,2653,Vaughn,437231.0
3.0,4,42,10018.8,2892,Vaughn,438310.0
3.1,4,29,5401.44,3249,Rogers,440000.0
3.1,4,171,7361.64,3967,Pink,445000.0
4.1,5,311,9104.04,4019,Jim Spradley,450000.0
3.1,4,7,8276.4,3681,Rogers,450000.0
4.0,5,71,11630.52,3510,Pink,465000.0
2.1,3,110,5619.24,2917,Vaughn,470000.0
4.1,5,40,7710.12,4130,Jim Spradley,470000.0
4.0,4,19,8058.6,3406,Gunstream,474990.0
2.1,4,11,7797.24,3212,Pink,475000.0
2.1,3,231,4704.48,2745,Vaughn,477000.0
4.2,5,41,9060.48,3607,Jim Spradley,479000.0
3.1,4,57,8276.4,3987,Tadlock,482000.0
3.0,4,234,11761.2,3511,Spears,515000.0
4.0,5,3,9147.6,3834,Rogers,515000.0
3.1,4,100,4965.84,3498,Vaughn,520000.0
5.0,4,14,7884.36,3600,Pink,525000.0
3.1,4,28,8450.64,4504,Tadlock,525000.0
4.0,5,122,9365.4,4385,Pink,528000.0
4.0,5,9,7318.08,4248,Pink,528000.0
4.1,4,146,8276.4,3598,Rogers,530000.0
4.1,4,225,11064.24,3505,Pink,537000.0
4.0,5,155,0.0,4120,Jim Spradley,540000.0
4.1,5,128,0.0,4231,Judy Rucker,542000.0
3.1,4,167,10367.28,3767,Jim Spradley,545000.0
3.2,4,146,5488.56,3170,Vaughn,550000.0
4.1,5,17,10236.6,4844,Pink,550000.0
4.1,5,1,8319.96,3237,Vaughn,555946.0
4.1,5,252,0.0,3895,Judy Rucker,557284.0
4.1,4,257,8886.24,4301,Pink,560000.0
4.1,4,19,8145.72,3789,Rogers,560000.0
4.1,5,197,0.0,4362,Judy Rucker,565500.0
3.2,4,115,5662.8,4357,Vaughn,569000.0
4.0,5,31,8145.72,3986,Rogers,575000.0
4.1,4,193,9496.08,5167,Vaughn,580000.0
4.2,4,114,6098.4,3998,Vaughn,580000.0
3.1,4,166,14679.72,3969,Bright,580000.0
4.0,5,35,9757.44,4623,Pink,585000.0
3.1,3,119,7797.24,3364,Nichols,589000.0
3.1,4,223,16552.8,3499,Rogers,615000.0
2.1,3,44,5662.8,3141,Vaughn,620345.0
3.1,4,233,10890.0,4220,Spears,625000.0
3.1,3,210,12196.8,3192,Newman,629000.0
3.1,5,3,9757.44,4215,Pink,629900.0
4.1,5,86,12501.72,4752,Pink,635000.0
4.2,4,227,7840.8,4188,Spears,650000.0
2.1,4,16,12240.36,2400,Rogers,650000.0
4.2,4,189,10890.0,4186,Spears,675000.0
4.1,4,136,8712.0,3918,Vaughn,700000.0
4.2,4,2,10497.96,4580,Pink,708760.0
4.1,4,151,8973.36,4554,Newman,735000.0
4.1,5,12,14984.64,4404,Vaughn,739900.0
4.0,4,2,8276.4,3929,Spears,760000.0
4.2,4,330,9147.6,4080,Newman,777000.0
4.1,4,127,14418.36,4501,Newman,815000.0
5.2,5,128,11979.0,4643,Vaughn,820000.0
